Component_Model,Component_Model_Anon,Mean_RMSE,SD_RMSE,SE_RMSE,,Improvement
196.rgc,imp-6,9.401760498,2.030066532,0.203006653,,91.2455132
582.parsod,alc-5,4.501624258,0.714843211,0.071484321,,81.71602439
153.kimasharp,imp-4,3.79390926,0.454625323,0.045462532,,78.3053356
548.jiafu,exp-3,2.800632886,0.453625608,0.045362561,,70.61107561
189.epurisima,imp-5,2.551133609,0.488017381,0.048801738,,67.73685711
529.aemark,alc-2,2.38954219,0.356214966,0.035621497,,65.5550806
138.SGenheden,exp-1,2.005988778,0.213292172,0.021329217,,58.96906849
575.weyang,exp-4,1.834857323,0.301187984,0.030118798,,55.14224069
562.biorga,alc-4,1.650112588,0.132011151,0.013201115,,50.12001681
561.ben,imp-7,1.522570998,0.394195443,0.039419544,,45.94170764
178.ChristopherFennell,exp-2,1.519166577,0.13234465,0.013234465,,45.82056414
166.JoakimJ,alc-1,1.517644093,0.200356766,0.020035677,,45.76621192
149.hwangseo,imp-3,1.444560275,0.195328884,0.019532888,,43.02239264
141.AndreasKlamt,imp-1,1.360194047,0.298905597,0.02989056,,39.48834847
544.gilsonlab,alc-3,1.244894815,0.168169228,0.016816923,,33.88390157
566.geballe,imp-8,1.176611752,0.170056606,0.017005661,,30.04694371
145.lhs.sampl4,imp-2,1.152502958,0.219444942,0.021944494,,28.58362093
Stage 16,,0.823075882,0.150764207,0.015076421,,
