SAMPL_ID,Exp_Val,X138.SGenheden,X141.AndreasKlamt,X145.lhs.sampl4,X149.hwangseo,X153.kimasharp,X166.JoakimJ,X178.ChristopherFennell,X189.epurisima,X196.rgc,X529.aemark,X544.gilsonlab,X548.jiafu,X561.ben,X562.biorga,X566.geballe,X575.weyang,X582.parsod
SAMPL4_001,-23.62,-22.72,-17.6,-28.43,-25.76,-28.4,-20.07,-20.2,-23.08,-18.22417293,-20.5,-19.4,-19.3308,-24.3,-19.96,-19.4,-20.46,-25.51
SAMPL4_002,-2.49,-1.03,-3.27,-2.87,-0.99,-6.3,-3.74,-3.37,-0.63,3.178166667,-2.1,-2.3,-2.34859,-3.47,-2.08,-2.91,-3.09,-1.36
SAMPL4_003,-4.78,-3.06,-4.61,-5.4,-3.31,-6.2,-6.76,-3.03,-2.27,1.191666667,-4.9,-2.5,-1.84111,-4.98,-2.78,-4.49,-3,-3.15
SAMPL4_004,-4.45,-3.71,-5.02,-5.67,-3.23,-6.1,-5.95,-2.85,-1,0,-3.8,-2.6,-4.75875,-5.04,-2.71,-4.59,-3.16,-3.37
SAMPL4_005,-5.33,-3.39,-5.09,-4.34,-3,-12.7,-5.84,-4.53,-7.06,-1.636666667,-2.9,-3.4,-3.16095,-5.51,-2.87,-3.43,-3.99,-4.12
SAMPL4_006,-5.26,-3.62,-4.96,-5.21,-5.46,-10.9,-4.88,-4.3,-6.58,-1.709090909,-10.5,-4,-4.5846,-5.13,-3.17,-4.95,-4.92,-7.15
SAMPL4_009,-8.68,-9.96,-9.8,-9.8,-9.15,-14.8,-7.17,-9.82,-9.29,-34.9375,-10.5,-9.8,-6.91147,-9.46,-10.08,-8.89,-10.39,-10.5
SAMPL4_010,-6.44,-6.47,-6.36,-6.54,-6.07,-12.7,-2.75,-5.48,-5.47,-15.84571429,-7.1,-5.9,-1.99144,-5.34,-5.86,-5.87,-6.66,-6.2
SAMPL4_011,-7.78,-10.12,-9.68,-10.11,-9.18,-14.2,-7.22,-9.7,-8.07,-22.02875,-9.6,-9,-6.91209,-8.42,-7.59,-8.15,-10.27,-11.01
SAMPL4_012,-3.75,-3.1,-5.12,-4.18,-2,-4.3,-4.48,-3.44,-4.57,1.490833333,-4.2,-3,-2.91507,-2.88,-2.73,-2.84,-3.48,-1.9
SAMPL4_013,-4.44,-4.98,-5.48,-5.96,-3,-5.4,-6.74,-2.64,-2.71,1.133333333,-3.1,-3.3,-1.90712,-4.75,-4.75,-4.66,-3.81,-3.13
SAMPL4_014,-4.09,-2.57,-5.48,-4.45,-4.23,-4.7,-4.93,-4.19,-4.2,0.577,-4.7,-3.2,-3.74421,-3.88,-2.09,-3.77,-3.77,4.41
SAMPL4_015,-4.51,-3.23,-6.25,-4.51,-3.96,-4.7,-5.36,-4.35,-4.83,-0.2975,-4.4,-3.5,-3.54804,-3.02,-3.13,-2.89,-4.1,-2.18
SAMPL4_016,-3.2,-3.76,-4.53,-4.4,-3.02,-4.1,-4.83,-1.79,-4.37,2.51375,-3.9,-3.2,-1.88129,-3.07,-3.97,-3.05,-3.86,-2.77
SAMPL4_017,-2.53,-4.65,-3.97,-3.21,-1.69,-3.5,-2.64,-3.26,-4.1,2.018571429,-2.9,-3,-2.16941,-2.28,-2.58,-2.25,-3.73,-2.72
SAMPL4_019,-3.78,-0.31,-3.66,-2.85,-2.17,-2.2,-3.57,-3.13,-3.07,5.51,-0.9,-4,0.49487,-3.05,-4.02,-2.93,-5.15,-0.07
SAMPL4_020,-2.78,0.25,-2.94,-1.82,-2.88,-2.9,-3.87,-3.63,-0.41,5.9725,-0.8,-3.5,1.28568,-2.9,-1.87,-2.75,-4.29,1.24
SAMPL4_021,-7.63,-8.86,-10.09,-9.31,-8.87,-8.7,-9.53,-8.22,-8.81,-11.31175,-6.6,-7.7,-5.30418,-9.17,-9.95,-9.22,-8.58,-6.36
SAMPL4_022,-6.78,-7.26,-8.13,-7.3,-9.66,-7.7,-9.26,-6.5,-6.13,-42.604375,-8.8,-7.3,-5.70246,-7.92,-10.1,-7.91,-8.91,-11.92
SAMPL4_023,-9.34,-5.54,-6.75,-9.03,-7.2,-9,-8.46,-7.6,-0.62,-24.73511905,-2.9,-7.8,-0.11647,-6.74,-6.63,-6.72,-9.08,-1.47
SAMPL4_024,-7.43,-2.18,-6.01,-6.19,-4.69,-5.8,-9.18,-6.58,0.02,-23.62347826,-0.6,-7.7,0.19467,-5.91,-6.52,-5.56,-9.43,0.28
SAMPL4_025,-5.73,-5.96,-4.29,-6.23,-6.07,-12.1,-6.75,-3.6,-3.25,-1.860666667,-4.4,-3.8,-4.79396,-4.43,-3.61,-4.47,-4.07,-4.56
SAMPL4_026,-5.31,-6.56,-6.16,-5.72,-5.08,-13.5,-5.47,-6.49,-4.73,-3.073,-5.6,-5.9,-7.75172,-6.46,-3.69,-5.69,-6.28,-3.28
SAMPL4_027,-4.8,-7,-3.15,-6.25,-5.88,-12.7,-8.62,-4.2,-11.94,-0.071666667,-3.8,-5,-7.78437,-3.56,-7.03,-3.21,-11.32,-1.96
SAMPL4_030,-2.26,-1.81,-3.15,-2.67,-3.32,-6.6,-3.01,-3.58,-2.72,1.155,-4.5,-2.9,-4.75825,-3.23,-0.45,-2.55,-3.38,3.15
SAMPL4_032,-7.29,-5.26,-7.73,-6.98,-5.71,-6.5,-7.26,-4.5,-7.48,-1.65,-7.8,-5.3,-5.05638,-5.63,-5.54,-5.77,-6.21,-5.34
SAMPL4_033,-6.96,-7.21,-7.54,-7.99,-6.33,-15.5,-8.63,-7.26,-10.16,-4.915,-7,-7.1,-5.34558,-8.53,-6.24,-6.41,-7.48,-5.95
SAMPL4_034,-5.8,-4.08,-5.11,-5.76,-5.53,-10.9,-7.9,-4.6,-7.71,-4.07,-8.8,-4.4,-5.13212,-5.58,-4.13,-5.39,-5.15,-4.8
SAMPL4_035,-4.68,-7.01,-3.86,-5.29,-9.32,-7.7,-4.87,-6.3,-5.67,-6.565,-6.2,-4.7,-4.39959,-9.09,-6.34,-6.32,-7.35,-8.64
SAMPL4_036,-5.66,-3.14,-5.14,-5.31,-5.12,-4.8,-5.56,-3.45,-3.97,-0.803333333,-5.7,-4.8,-2.98587,-5.52,-4.36,-5.52,-5.33,-3.38
SAMPL4_037,-5.94,-5.6,-5.17,-5.75,-6.36,-11.2,-7.45,-4.9,-9.35,-4.753333333,-9.9,-4.7,-5.59203,-5.97,-4.05,-5.78,-5.23,-5.31
SAMPL4_038,-3.93,-3.38,-4.09,-4.01,-4.82,-4.8,-5.01,-5.18,-5.22,-1.065,-4.7,-4.4,-4.39499,-4.81,-3.63,-4.71,-4.89,-3.1
SAMPL4_039,-0.85,1.15,-0.62,-0.28,-0.78,-1.1,-0.89,-0.3,-0.65,4.496666667,0.4,-0.6,1.16019,-0.78,-1.49,-0.67,-1.15,1.71
SAMPL4_041,-5.11,-5.51,-3.63,-4.86,-3.96,-2.8,-2.53,-2.69,-3.48,-31.68,-1.4,-3.8,-2.04114,-3.65,-3.55,-3.67,-4.03,-2.27
SAMPL4_042,-3.12,-3.38,-2.93,-2.66,-2.36,-5.5,-3.61,-1.28,-3.19,0.76,-1.1,-1.7,-1.75891,-1.53,-1.94,-1.5,-1.88,-2.61
SAMPL4_043,0.14,1.86,0.36,0.79,0.45,-0.8,0.3,1.64,-0.2,4.22,1.8,1.4,1.25101,0.74,0.95,0.82,1.18,1.01
SAMPL4_044,-5.06,-7.2,-5.65,-4.76,-4.45,-10.4,-3.99,-3.59,-6.81,-2.62,-1.8,-4,-4.19596,-4.51,-2.62,-4.21,-4.26,-6.71
SAMPL4_045,-11.53,-13.88,-14.14,-13.45,-9.98,-9.2,-9.84,-14.47,-10.19,-3.41,-14.8,-13.3,-12.6068,-13.18,-10.27,-12.34,-15,-26.29
SAMPL4_046,-9.44,-11.94,-9.88,-9.86,-10.03,-8.1,-8.36,-12.1,-7.37,-2.43,-10.3,-11,-9.30094,-10.7,-9.55,-10.25,-13.12,-19.41
SAMPL4_047,-14.21,-11.51,-13.15,-13.29,-14.41,-13,-13.47,-13.9,-10.6,-5.657777778,-12,-12.9,-19.1444,-13.62,-12.08,-13.32,-15.18,-23.75
SAMPL4_048,-11.85,-10.86,-13.7,-14.5,-11.84,-8.9,-9.99,-14.6,-7.66,-4.92,-14.5,-13.6,-10.8804,-13.98,-12.63,-13.9,-15.81,-21.5
SAMPL4_049,-3.15,-1.53,-3.33,-3.09,-3.96,-7,-4.4,-4.08,-3.44,-1.98,-2.6,-3.4,-1.0443,-4.48,-1.3,-4.18,-4.9,-1.03
SAMPL4_050,-3.95,-1.33,-3.64,-2.99,-2.75,-2.6,-3.68,-4.68,-3.19,4.07,-2.1,-4.8,0.1421,-4.1,-2.65,-3.88,-6,-0.38
SAMPL4_051,-9.53,-11.14,-10.1,-11.69,-12.74,-10.6,-11.56,-11.55,-7.8,-4.27,-12.6,-10.5,-10.5001,-16.38,-11.35,-10.94,-12.6,-15.44
SAMPL4_052,-2.87,1.02,-3.25,-2.41,-4.08,-6.3,-3.02,-2.46,-1.65,2.688333333,-1.9,-2.5,0.16917,-3.57,-1.16,-3.29,-3.55,0.13
